Motif_OD,home_work
,
Row Labels,Count of AgentId
0,7
1,5
2,14
3,7
4,14
5,12
6,13
7,14
8,10
9,6
10,4
11,3
12,10
13,5
14,3
15,6
16,4
17,8
18,8
19,5
20,6
21,4
22,4
23,5
24,1
25,3
26,2
27,4
28,2
29,4
31,5
32,2
34,3
35,1
36,2
37,3
38,2
39,9
41,1
42,1
43,6
44,2
45,5
46,1
47,3
48,2
49,7
51,1
52,1
53,2
54,3
55,1
56,4
57,3
58,1
60,1
62,2
63,2
67,2
69,1
70,2
71,1
72,2
74,1
75,3
76,1
77,1
78,1
80,3
81,1
82,2
83,2
84,2
85,1
86,1
87,1
89,4
90,1
91,1
92,1
93,2
96,2
97,1
98,1
99,2
100,1
102,2
103,1
105,1
106,1
107,2
108,1
114,2
115,1
116,1
117,1
118,1
119,1
122,2
123,3
124,1
126,2
129,1
131,1
136,2
137,2
138,1
139,2
141,1
142,1
144,1
148,1
150,1
152,1
153,1
155,1
157,1
158,2
159,1
162,1
165,1
170,1
175,1
176,1
178,2
185,2
190,1
195,1
198,2
200,1
201,1
202,2
203,1
204,1
205,1
207,1
208,1
209,1
211,1
213,1
219,1
220,1
223,1
230,1
231,1
237,2
245,1
247,1
251,1
254,1
256,1
258,1
259,1
263,2
266,1
267,1
269,1
270,1
273,1
287,1
291,1
292,1
294,1
298,1
305,1
307,1
310,1
311,1
312,1
313,1
314,2
316,1
317,1
318,2
319,1
320,2
321,1
324,3
326,2
330,1
332,1
338,1
342,1
344,1
346,1
349,1
350,1
357,1
362,1
365,1
367,2
371,1
372,3
376,1
379,2
380,1
383,1
385,1
386,1
388,1
391,1
392,2
396,1
398,1
399,1
401,2
403,1
409,1
410,1
411,1
413,1
414,1
417,1
420,1
432,1
433,1
440,1
443,1
444,1
445,1
447,1
448,1
451,1
456,1
462,1
465,1
470,1
471,1
472,1
474,1
481,1
482,1
485,1
486,1
511,1
518,1
527,1
528,2
529,1
530,1
534,3
539,1
540,1
542,2
543,1
556,2
566,1
570,1
572,1
584,1
591,1
596,1
604,1
606,1
610,1
615,1
629,1
635,1
638,1
639,1
641,1
649,1
654,1
657,1
660,1
665,1
673,1
678,1
683,1
688,1
690,1
691,1
697,1
699,1
700,2
701,1
705,1
707,1
709,1
726,1
727,1
729,1
733,1
741,1
750,1
752,1
769,1
777,1
781,1
787,1
790,1
804,1
808,2
810,2
879,1
888,1
897,1
916,1
917,1
942,1
952,1
955,1
958,1
973,1
978,1
1017,1
1019,1
1031,1
1032,2
1050,1
1074,1
1076,1
1106,1
1108,1
1117,1
1121,1
1133,1
1141,1
1142,1
1170,1
1200,1
1204,1
1215,1
1220,1
1228,1
1234,1
1242,1
1245,1
1248,1
1251,1
1253,1
1263,1
1264,1
1273,1
1280,1
1303,1
1311,1
1312,1
1320,1
1322,1
1333,1
1334,1
1348,1
1355,1
1367,1
1382,1
1399,1
1416,1
1417,1
1467,1
Grand Total,615
